codelist,code,label,parent
admin-geography,E05008942,Burn Valley,E06000001
admin-geography,E05008943,De Bruce,E06000001
admin-geography,E05008944,Fens and Rossmere,E06000001
admin-geography,E05008945,Foggy Furze,E06000001
admin-geography,E05008946,Hart,E06000001
admin-geography,E05008947,Headland and Harbour,E06000001
admin-geography,E05008948,Jesmond,E06000001
admin-geography,E05008949,Manor House,E06000001
admin-geography,E05008950,Rural West,E06000001
admin-geography,E05008951,Seaton,E06000001
admin-geography,E05008952,Victoria,E06000001
admin-geography,E05009853,Acklam,E06000002
admin-geography,E05009854,Ayresome,E06000002
admin-geography,E05009855,Berwick Hills & Pallister,E06000002
admin-geography,E05009856,Brambles & Thorntree,E06000002
admin-geography,E05009857,Central,E06000002
admin-geography,E05009858,Coulby Newham,E06000002
admin-geography,E05009859,Hemlington,E06000002
admin-geography,E05009860,Kader,E06000002
admin-geography,E05009861,Ladgate,E06000002
admin-geography,E05009862,Linthorpe,E06000002
admin-geography,E05009863,Longlands & Beechwood,E06000002
admin-geography,E05009864,Marton East,E06000002
admin-geography,E05009865,Marton West,E06000002
admin-geography,E05009866,Newport,E06000002
admin-geography,E05009867,North Ormesby,E06000002
admin-geography,E05009868,Nunthorpe,E06000002
admin-geography,E05009869,Park,E06000002
admin-geography,E05009870,Park End & Beckfield,E06000002
admin-geography,E05009871,Stainton & Thornton,E06000002
admin-geography,E05009872,Trimdon,E06000002
admin-geography,E05001505,Brotton,E06000003
admin-geography,E05001506,Coatham,E06000003
admin-geography,E05001507,Dormanstown,E06000003
admin-geography,E05001508,Eston,E06000003
admin-geography,E05001509,Grangetown,E06000003
admin-geography,E05001510,Guisborough,E06000003
admin-geography,E05001511,Hutton,E06000003
admin-geography,E05001512,Kirkleatham,E06000003
admin-geography,E05001513,Lockwood,E06000003
admin-geography,E05001514,Loftus,E06000003
admin-geography,E05001515,Longbeck,E06000003
admin-geography,E05001516,Newcomen,E06000003
admin-geography,E05001517,Normanby,E06000003
admin-geography,E05001518,Ormesby,E06000003
admin-geography,E05001519,St Germain's,E06000003
admin-geography,E05001520,Saltburn,E06000003
admin-geography,E05001521,Skelton,E06000003
admin-geography,E05001522,South Bank,E06000003
admin-geography,E05001523,Teesville,E06000003
admin-geography,E05001524,West Dyke,E06000003
admin-geography,E05001525,Westworth,E06000003
admin-geography,E05001526,Zetland,E06000003
admin-geography,E05001527,Billingham Central,E06000004
admin-geography,E05001528,Billingham East,E06000004
admin-geography,E05001529,Billingham North,E06000004
admin-geography,E05001530,Billingham South,E06000004
admin-geography,E05001531,Billingham West,E06000004
admin-geography,E05001532,Bishopsgarth and Elm Tree,E06000004
admin-geography,E05001533,Eaglescliffe,E06000004
admin-geography,E05001534,Fairfield,E06000004
admin-geography,E05001535,Grangefield,E06000004
admin-geography,E05001536,Hardwick and Salters Lane,E06000004
admin-geography,E05001537,Hartburn,E06000004
admin-geography,E05001538,Ingleby Barwick East,E06000004
admin-geography,E05001539,Ingleby Barwick West,E06000004
admin-geography,E05001540,Mandale and Victoria,E06000004
admin-geography,E05001541,Newtown,E06000004
admin-geography,E05001542,Northern Parishes,E06000004
admin-geography,E05001543,Norton North,E06000004
admin-geography,E05001544,Norton South,E06000004
admin-geography,E05001545,Norton West,E06000004
admin-geography,E05001546,Parkfield and Oxbridge,E06000004
admin-geography,E05001547,Roseworth,E06000004
admin-geography,E05001548,Stainsby Hill,E06000004
admin-geography,E05001549,Stockton Town Centre,E06000004
admin-geography,E05001550,Village,E06000004
admin-geography,E05001551,Western Parishes,E06000004
admin-geography,E05001552,Yarm,E06000004
admin-geography,E05010412,Bank Top & Lascelles,E06000005
admin-geography,E05010413,Brinkburn & Faverdale,E06000005
admin-geography,E05010414,Cockerton,E06000005
admin-geography,E05010415,College,E06000005
admin-geography,E05010416,Eastbourne,E06000005
admin-geography,E05010417,Harrowgate Hill,E06000005
admin-geography,E05010418,Haughton & Springfield,E06000005
admin-geography,E05010419,Heighington & Coniscliffe,E06000005
admin-geography,E05010420,Hummersknott,E06000005
admin-geography,E05010421,Hurworth,E06000005
admin-geography,E05010422,Mowden,E06000005
admin-geography,E05010423,North Road,E06000005
admin-geography,E05010424,Northgate,E06000005
admin-geography,E05010425,Park East,E06000005
admin-geography,E05010426,Park West,E06000005
admin-geography,E05010427,Pierremont,E06000005
admin-geography,E05010428,Red Hall & Lingfield,E06000005
admin-geography,E05010429,Sadberge & Middleton St George,E06000005
admin-geography,E05010430,Stephenson,E06000005
admin-geography,E05010431,Whinfield,E06000005
admin-geography,E05001577,Appleton,E06000006
admin-geography,E05001578,Beechwood,E06000006
admin-geography,E05001579,Birchfield,E06000006
admin-geography,E05001580,Broadheath,E06000006
admin-geography,E05001581,Halton Castle,E06000006
admin-geography,E05001582,Daresbury,E06000006
admin-geography,E05001583,Ditton,E06000006
admin-geography,E05001584,Farnworth,E06000006
admin-geography,E05001585,Grange,E06000006
admin-geography,E05001586,Hale,E06000006
admin-geography,E05001587,Halton Brook,E06000006
admin-geography,E05001588,Halton Lea,E06000006
admin-geography,E05001589,Halton View,E06000006
admin-geography,E05001590,Heath,E06000006
admin-geography,E05001591,Hough Green,E06000006
admin-geography,E05001592,Kingsway,E06000006
admin-geography,E05001593,Mersey,E06000006
admin-geography,E05001594,Norton North,E06000006
admin-geography,E05001595,Norton South,E06000006
admin-geography,E05001596,Riverside,E06000006
admin-geography,E05001597,Windmill Hill,E06000006
admin-geography,E05011024,Appleton,E06000007
admin-geography,E05011025,Bewsey and Whitecross,E06000007
admin-geography,E05011026,Birchwood,E06000007
admin-geography,E05011027,Burtonwood and Winwick,E06000007
admin-geography,E05011028,Chapelford and Old Hall,E06000007
admin-geography,E05011029,"Culcheth, Glazebury and Croft",E06000007
admin-geography,E05011030,Fairfield and Howley,E06000007
admin-geography,E05011031,Grappenhall,E06000007
admin-geography,E05011032,Great Sankey North and Whittle Hall,E06000007
admin-geography,E05011033,Great Sankey South,E06000007
admin-geography,E05011034,Latchford East,E06000007
admin-geography,E05011035,Latchford West,E06000007
admin-geography,E05011036,Lymm North and Thelwall,E06000007
admin-geography,E05011037,Lymm South,E06000007
admin-geography,E05011038,Orford,E06000007
admin-geography,E05011039,Penketh and Cuerdley,E06000007
admin-geography,E05011040,Poplars and Hulme,E06000007
admin-geography,E05011041,Poulton North,E06000007
admin-geography,E05011042,Poulton South,E06000007
admin-geography,E05011043,Rixton and Woolston,E06000007
admin-geography,E05011044,Stockton Heath,E06000007
admin-geography,E05011045,Westbrook,E06000007
admin-geography,E05001620,Audley,E06000008
admin-geography,E05001621,Bastwell,E06000008
admin-geography,E05001622,Beardwood with Lammack,E06000008
admin-geography,E05001623,Corporation Park,E06000008
admin-geography,E05001624,Earcroft,E06000008
admin-geography,E05001625,East Rural,E06000008
admin-geography,E05001626,Ewood,E06000008
admin-geography,E05001627,Fernhurst,E06000008
admin-geography,E05001628,Higher Croft,E06000008
admin-geography,E05001629,Little Harwood,E06000008
admin-geography,E05001630,Livesey with Pleasington,E06000008
admin-geography,E05001631,Marsh House,E06000008
admin-geography,E05001632,Meadowhead,E06000008
admin-geography,E05001633,Mill Hill,E06000008
admin-geography,E05001634,North Turton with Tockholes,E06000008
admin-geography,E05001635,Queen's Park,E06000008
admin-geography,E05001636,Roe Lee,E06000008
admin-geography,E05001637,Shadsworth with Whitebirk,E06000008
admin-geography,E05001638,Shear Brow,E06000008
admin-geography,E05001639,Sudell,E06000008
admin-geography,E05001640,Sunnyhurst,E06000008
admin-geography,E05001641,Wensley Fold,E06000008
admin-geography,E05001642,Whitehall,E06000008
admin-geography,E05001643,Anchorsholme,E06000009
admin-geography,E05001644,Bispham,E06000009
admin-geography,E05001645,Bloomfield,E06000009
admin-geography,E05001646,Brunswick,E06000009
admin-geography,E05001647,Claremont,E06000009
admin-geography,E05001648,Clifton,E06000009
admin-geography,E05001649,Greenlands,E06000009
admin-geography,E05001650,Hawes Side,E06000009
admin-geography,E05001651,Highfield,E06000009
admin-geography,E05001652,Ingthorpe,E06000009
admin-geography,E05001653,Layton,E06000009
admin-geography,E05001654,Marton,E06000009
admin-geography,E05001655,Norbreck,E06000009
admin-geography,E05001656,Park,E06000009
admin-geography,E05001657,Squires Gate,E06000009
admin-geography,E05001658,Stanley,E06000009
admin-geography,E05001659,Talbot,E06000009
admin-geography,E05001660,Tyldesley,E06000009
admin-geography,E05001661,Victoria,E06000009
admin-geography,E05001662,Warbreck,E06000009
admin-geography,E05001663,Waterloo,E06000009
admin-geography,E05001664,Avenue,E06000010
admin-geography,E05001665,Beverley,E06000010
admin-geography,E05001666,Boothferry,E06000010
admin-geography,E05001667,Bransholme East,E06000010
admin-geography,E05001668,Bransholme West,E06000010
admin-geography,E05001669,Bricknell,E06000010
admin-geography,E05001670,Derringham,E06000010
admin-geography,E05001671,Drypool,E06000010
admin-geography,E05001672,Holderness,E06000010
admin-geography,E05001673,Ings,E06000010
admin-geography,E05001674,Kings Park,E06000010
