codelist,code,label,parent
nuts,UKC11,Hartlepool and Stockton-on-Tees,UKC1
nuts,UKC12,South Teesside,UKC1
nuts,UKC13,Darlington,UKC1
nuts,UKC14,Durham CC,UKC1
nuts,UKC21,Northumberland,UKC2
nuts,UKC22,Tyneside,UKC2
nuts,UKC23,Sunderland,UKC2
nuts,UKD11,West Cumbria,UKD1
nuts,UKD12,East Cumbria,UKD1
nuts,UKD33,Manchester,UKD3
nuts,UKD34,Greater Manchester South West,UKD3
nuts,UKD35,Greater Manchester South East,UKD3
nuts,UKD36,Greater Manchester North West,UKD3
nuts,UKD37,Greater Manchester North East,UKD3
nuts,UKD41,Blackburn with Darwen,UKD4
nuts,UKD42,Blackpool,UKD4
nuts,UKD44,Lancaster and Wyre,UKD4
nuts,UKD45,Mid Lancashire,UKD4
nuts,UKD46,East Lancashire,UKD4
nuts,UKD47,Chorley and West Lancashire,UKD4
nuts,UKD61,Warrington,UKD6
nuts,UKD62,Cheshire East,UKD6
nuts,UKD63,Cheshire West and Chester,UKD6
nuts,UKD71,East Merseyside,UKD7
nuts,UKD72,Liverpool,UKD7
nuts,UKD73,Sefton,UKD7
nuts,UKD74,Wirral,UKD7
nuts,UKE11,"Kingston upon Hull, City of",UKE1
nuts,UKE12,East Riding of Yorkshire,UKE1
nuts,UKE13,North and North East Lincolnshire,UKE1
nuts,UKE21,York,UKE2
nuts,UKE22,North Yorkshire CC,UKE2
nuts,UKE31,"Barnsley, Doncaster and Rotherham",UKE3
nuts,UKE32,Sheffield,UKE3
nuts,UKE41,Bradford,UKE4
nuts,UKE42,Leeds,UKE4
nuts,UKE44,Calderdale and Kirklees,UKE4
nuts,UKE45,Wakefield,UKE4
nuts,UKF11,Derby,UKF1
nuts,UKF12,East Derbyshire,UKF1
nuts,UKF13,South and West Derbyshire,UKF1
nuts,UKF14,Nottingham,UKF1
nuts,UKF15,North Nottinghamshire,UKF1
nuts,UKF16,South Nottinghamshire,UKF1
nuts,UKF21,Leicester,UKF2
nuts,UKF22,Leicestershire CC and Rutland,UKF2
nuts,UKF24,West Northamptonshire,UKF2
nuts,UKF25,North Northamptonshire,UKF2
nuts,UKF30,Lincolnshire,UKF3
nuts,UKG11,"Herefordshire, County of",UKG1
nuts,UKG12,Worcestershire,UKG1
nuts,UKG13,Warwickshire,UKG1
nuts,UKG21,Telford and Wrekin,UKG2
nuts,UKG22,Shropshire CC,UKG2
nuts,UKG23,Stoke-on-Trent,UKG2
