codelist,code,label,parent
sic,A,"A : Agriculture, forestry and fishing",total
sic,01,"01 : Crop and animal production, hunting and related service activities",A
sic,01-1,01.1 : Growing of non-perennial crops,01
sic,01-11,"01.11 : Growing of cereals (except rice), leguminous crops and oil seeds",01-1
sic,01-12,01.12 : Growing of rice,01-1
sic,01-13,"01.13 : Growing of vegetables and melons, roots and tubers",01-1
sic,01-14,01.14 : Growing of sugar cane,01-1
sic,01-15,01.15 : Growing of tobacco,01-1
sic,01-16,01.16 : Growing of fibre crops,01-1
sic,01-19,01.19 : Growing of other non-perennial crops,01-1
sic,01-2,01.2 : Growing of perennial crops,01
sic,01-21,01.21 : Growing of grapes,01-2
sic,01-22,01.22 : Growing of tropical and subtropical fruits,01-2
sic,01-23,01.23 : Growing of citrus fruits,01-2
sic,01-24,01.24 : Growing of pome fruits and stone fruits,01-2
sic,01-25,01.25 : Growing of other tree and bush fruits and nuts,01-2
sic,01-26,01.26 : Growing of oleaginous fruits,01-2
sic,01-27,01.27 : Growing of beverage crops,01-2
sic,01-28,"01.28 : Growing of spices, aromatic, drug and pharmaceutical crops",01-2
sic,01-29,01.29 : Growing of other perennial crops,01-2
sic,01-3,01.3 : Plant propagation,01
sic,01-30,01.30 : Plant propagation,01-3
sic,01-4,01.4 : Animal production,01
sic,01-41,01.41 : Raising of dairy cattle,01-4
sic,01-42,01.42 : Raising of other cattle and buffaloes,01-4
sic,01-43,01.43 : Raising of horses and other equines,01-4
sic,01-44,01.44 : Raising of camels and camelids,01-4
sic,01-45,01.45 : Raising of sheep and goats,01-4
sic,01-46,01.46 : Raising of swine/pigs,01-4
sic,01-47,01.47 : Raising of poultry,01-4
sic,01-49,01.49 : Raising of other animals,01-4
sic,01-5,01.5 : Mixed farming,01
sic,01-50,01.50 : Mixed farming,01-5
sic,01-6,01.6 : Support activities to agriculture and post-harvest crop activities,01
sic,01-61,01.61 : Support activities for crop production,01-6
sic,01-62,01.62 : Support activities for animal production,01-6
sic,01-621,01.62/1 : Farm animal boarding and care,01-62
sic,01-629,01.62/9 : Support activities for animal production (other than farm animal boarding and care) n.e.c.,01-62
sic,01-63,01.63 : Post-harvest crop activities,01-6
sic,01-64,01.64 : Seed processing for propagation,01-6
sic,01-7,"01.7 : Hunting, trapping and related service activities",01
sic,01-70,"01.70 : Hunting, trapping and related service activities",01-7
sic,02,02 : Forestry and logging,A
sic,02-1,02.1 : Silviculture and other forestry activities,02
sic,02-10,02.10 : Silviculture and other forestry activities,02-1
sic,02-2,02.2 : Logging,02
sic,02-20,02.20 : Logging,02-2
sic,02-3,02.3 : Gathering of wild growing non-wood products,02
sic,02-30,02.30 : Gathering of wild growing non-wood products,02-3
sic,02-4,02.4 : Support services to forestry,02
sic,02-40,02.40 : Support services to forestry,02-4
sic,03,03 : Fishing and aquaculture,A
sic,03-1,03.1 : Fishing,03
sic,03-11,03.11 : Marine fishing,03-1
sic,03-12,03.12 : Freshwater fishing,03-1
sic,03-2,03.2 : Aquaculture,03
sic,03-21,03.21 : Marine aquaculture,03-2
sic,03-22,03.22 : Freshwater aquaculture,03-2
sic,B,B : Mining and quarrying,total
sic,05,05 : Mining of coal and lignite,B
sic,05-1,05.1 : Mining of hard coal,05
sic,05-10,05.10 : Mining of hard coal,05-1
sic,05-101,05.10/1 : Mining of hard coal from deep coal mines (underground mining),05-10
sic,05-102,05.10/2 : Mining of hard coal from open cast coal working (surface mining),05-10
sic,05-2,05.2 : Mining of lignite,05
sic,05-20,05.20 : Mining of lignite,05-2
sic,06,06 : Extraction of crude petroleum and natural gas,B
sic,06-1,06.1 : Extraction of crude petroleum,06
sic,06-10,06.10 : Extraction of crude petroleum,06-1
sic,06-2,06.2 : Extraction of natural gas,06
sic,06-20,06.20 : Extraction of natural gas,06-2
sic,07,07 : Mining of metal ores,B
sic,07-1,07.1 : Mining of iron ores,07
sic,07-10,07.10 : Mining of iron ores,07-1
sic,07-2,07.2 : Mining of non-ferrous metal ores,07
sic,07-21,07.21 : Mining of uranium and thorium ores,07-2
sic,07-29,07.29 : Mining of other non-ferrous metal ores,07-2
sic,08,08 : Other mining and quarrying,B
sic,08-1,"08.1 : Quarrying of stone, sand and clay",08
sic,08-11,"08.11 : Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",08-1
sic,08-12,08.12 : Operation of gravel and sand pits,08-1
sic,08-9,08.9 : Mining and quarrying n.e.c.,08
sic,08-91,08.91 : Mining of chemical and fertiliser minerals,08-9
sic,08-92,08.92 : Extraction of peat,08-9
sic,08-93,08.93 : Extraction of salt,08-9
sic,08-99,08.99 : Other mining and quarrying n.e.c.,08-9
sic,09,09 : Mining support service activities,B
sic,09-1,09.1 : Support activities for petroleum and natural gas extraction,09
sic,09-10,09.10 : Support activities for petroleum and natural gas extraction,09-1
sic,09-9,09.9 : Support activities for other mining and quarrying,09
sic,09-90,09.90 : Support activities for other mining and quarrying,09-9
sic,C,C : Manufacturing,total
sic,10,10 : Manufacture of food products,C
sic,10-1,10.1 : Processing and preserving of meat and production of meat products,10
sic,10-11,10.11 : Processing and preserving of meat,10-1
sic,10-12,10.12 : Processing and preserving of poultry meat,10-1
sic,10-13,10.13 : Production of meat and poultry meat products,10-1
sic,10-2,"10.2 : Processing and preserving of fish, crustaceans and molluscs",10
sic,10-20,"10.20 : Processing and preserving of fish, crustaceans and molluscs",10-2
sic,10-3,10.3 : Processing and preserving of fruit and vegetables,10
sic,10-31,10.31 : Processing and preserving of potatoes,10-3
sic,10-32,10.32 : Manufacture of fruit and vegetable juice,10-3
