codelist,code,label,parent
trade-commodity,72C,72C - Specialised machinery (consumer),7
trade-commodity,72I,72I - Specialised machinery (intermediate),7
trade-commodity,72K,72K - Specialised machinery (capital),7
trade-commodity,73I,73I - Metal working machinery (intermediate),7
trade-commodity,73K,73K - Metal working machinery (capital),7
trade-commodity,74C,74C - General industrial machinery (consumer),7
trade-commodity,74I,74I - General industrial machinery (intermediate),7
trade-commodity,74K,74K - General industrial machinery (capital),7
trade-commodity,75C,75C - Office machinery (consumer),7
trade-commodity,75I,75I - Office machinery (intermediate),7
trade-commodity,75K,75K - Office machinery (capital),7
trade-commodity,76C,76C - Telecoms & sound equipment (consumer),7
trade-commodity,76I,76I - Telecoms & sound equipment (intermediate),7
trade-commodity,76K,76K - Telecoms & sound equipment (capital),7
trade-commodity,77C,77C - Miscellaneous electrical goods (consumer),7
trade-commodity,77I,77I - Miscellaneous electrical goods (intermediate),7
trade-commodity,77K,77K - Miscellaneous electrical goods (capital),7
trade-commodity,78,78 - Road vehicles,7
trade-commodity,78C,78C - Road vehicles other than cars (consumer),7
trade-commodity,78I,78I - Road vehicles other than cars (intermediate),7
trade-commodity,78K,78K - Road vehicles other than cars (capital),7
trade-commodity,78M,78M - Cars,7
trade-commodity,79,79 - Other transport equipment,7
trade-commodity,791I,791I - Road vehicles other than cars (intermediate),7
trade-commodity,791K,791K - Railway equipment (capital),7
trade-commodity,792,792 - Aircraft,7
trade-commodity,792-3,792-3 - Ships & aircraft,7
trade-commodity,793,793 - Ships,7
trade-commodity,7E,7E - Electrical machinery,7
trade-commodity,7EC,7EC - Electrical machinery (consumer),7
trade-commodity,7EI,7EI - Electrical machinery (intermediate),7
trade-commodity,7EK,7EK - Electrical machinery (intermediate),7
trade-commodity,7M,7M - Mechanical machinery,7
trade-commodity,7MC,7MC - Mechanical machinery (consumer),7
trade-commodity,7MI,7MI - Mechanical machinery (intermediate),7
trade-commodity,7MK,7MK - Mechanical machinery (capital),7
trade-commodity,8,8 - Miscellaneous manufactures,T
trade-commodity,81C,"81C - Plumbing, heating & lighting fixtures (consumer)",8
trade-commodity,81I,"81I - Plumbing, heating & lighting fixtures (intermediate)",8
trade-commodity,81K,"81K - Plumbing, heating & lighting fixtures (capital)",8
trade-commodity,82C,82C - Furniture (consumer),8
trade-commodity,82I,82I - Furniture (intermediate),8
trade-commodity,82K,82K - Furniture (capital),8
trade-commodity,83,"83 - Travel goods, handbags etc",8
trade-commodity,84,84 - Clothing,8
trade-commodity,85,85 - Footwear,8
trade-commodity,87C,87C - Scientific instruments (consumer),8
trade-commodity,87I,87I - Scientific instruments (intermediate),8
trade-commodity,87K,87K - Scientific instruments (capital),8
trade-commodity,88C,88C - Photographic & optical goods & clocks (consumer),8
trade-commodity,88I,88I - Photographic & optical goods & clocks (intermediate),8
trade-commodity,88K,88K - Photographic & optical goods & clocks (capital),8
trade-commodity,896,896 - Works of art,8
trade-commodity,897C,897C - Jewellery,8
trade-commodity,89I,89I - Other manufactures (intermediate),8
trade-commodity,89K,89K - Other manufactures (capital),8
trade-commodity,89OC,89OC - Other manufactures (consumer),8
trade-commodity,8O,8O - Other manufactures,8
trade-commodity,8OC,8OC - Other miscellaneous manufactures (consumer),8
trade-commodity,8OI,8OI - Other miscellaneous manufactures (intermediate),8
trade-commodity,8OK,8OK - Other miscellaneous manufactures (capital),8
trade-commodity,9,9 - Unspecified goods,T
trade-commodity,T,T - Total,
