codelist,code,label,parent
trade-commodity,0,0 - Food & live animals,T
trade-commodity,0,00 - Live animals,0
trade-commodity,1,01 - Meat & meat preparations,0
trade-commodity,2,02 - Dairy products & eggs,0
trade-commodity,3,03 - Fish & shellfish,0
trade-commodity,4,04 - Cereals,0
trade-commodity,5,05 - Vegetables & fruit,0
trade-commodity,6,06 - Sugar,0
trade-commodity,7,"07 - Coffee, tea, cocoa etc",0
trade-commodity,8,08 - Animal feeding stuffs,0
trade-commodity,9,09 - Miscellaneous foods,0
trade-commodity,1,1 - Beverages & tobacco,T
trade-commodity,11,11 - Beverages,1
trade-commodity,12,12 - Tobacco,1
trade-commodity,2,2 - Crude materials,T
trade-commodity,21,"21 - Hides, skins & furskins",2
trade-commodity,22,22 - Oil-seeds & oleaginous fruits,2
trade-commodity,23,23 - Crude rubber,2
trade-commodity,24,24 - Wood & cork,2
trade-commodity,25,25 - Pulp & waste paper,2
trade-commodity,26,26 - Textile fibres,2
trade-commodity,27,27 - Crude minerals & fertilisers,2
trade-commodity,28,28 - Metal ores & scrap,2
trade-commodity,29,29 - Other crude animal & vegetable materials,2
trade-commodity,3,3 - Fuels,T
trade-commodity,32,"32 - Coal, coke & briquettes",3
trade-commodity,33,33 - Oil,3
trade-commodity,33O,33O - Crude oil,3
trade-commodity,33R,33R - Refined oil,3
trade-commodity,34,34 - Gas,3
trade-commodity,35,35 - Electricity,3
trade-commodity,3OF,3OF - Fuels other than oil,3
trade-commodity,4,4 - Animal & vegetable oils & fats,T
trade-commodity,41,41 - Animal oils & fats,4
trade-commodity,42,42 - Vegetable oils & fats,4
trade-commodity,43,43 - Processed oils & fats,4
trade-commodity,5,5 - Chemicals,T
trade-commodity,51,51 - Organic chemicals,5
trade-commodity,52,52 - Inorganic chemicals,5
trade-commodity,53,"53 - Dyeing, tanning & colouring materials",5
trade-commodity,54,54 - Medicinal & pharmaceutical products,5
trade-commodity,55,55 - Toilet & cleansing preparations,5
trade-commodity,56,56 - Processed fertilisers,5
trade-commodity,57,57 - Plastics in primary forms,5
trade-commodity,58,58 - Plastics in non-primary forms,5
trade-commodity,59,59 - Other chemicals,5
trade-commodity,6,6 - Material manufactures,T
trade-commodity,61,61 - Leather manufactures,6
trade-commodity,62,62 - Rubber manufactures,6
trade-commodity,63,63 - Wood & cork manufactures,6
trade-commodity,64,64 - Paper & paperboard,6
trade-commodity,65,65 - Textile fabrics,6
trade-commodity,66,66 - Mineral manufactures,6
trade-commodity,67,67 - Iron & steel,6
trade-commodity,68,68 - Non-ferrous metals,6
trade-commodity,69,69 - Miscellaneous metal manufactures,6
trade-commodity,7,7 - Machinery & transport equipment,T
trade-commodity,71EI,71EI - Electric motors (intermediate),7
trade-commodity,71EK,71EK - Electric motors (capital),7
trade-commodity,71MC,71MC - Mechanical power generators (consumer),7
trade-commodity,71MI,71MI - Mechanical power generators (intermediate),7
trade-commodity,71MK,71MK - Mechanical power generators (capital),7
