codelist,code,label,parent
ccg-geography,E38000001,"NHS Airedale, Wharfedale and Craven CCG",E39000029
ccg-geography,E38000002,NHS Ashford CCG,E39000042
ccg-geography,E38000004,NHS Barking and Dagenham CCG,E39000018
ccg-geography,E38000005,NHS Barnet CCG,E39000018
ccg-geography,E38000006,NHS Barnsley CCG,E39000029
ccg-geography,E38000007,NHS Basildon and Brentwood CCG,E39000031
ccg-geography,E38000008,NHS Bassetlaw CCG,E39000029
ccg-geography,E38000009,NHS Bath and North East Somerset CCG,E39000043
ccg-geography,E38000010,NHS Bedfordshire CCG,E39000030
ccg-geography,E38000011,NHS Bexley CCG,E39000018
ccg-geography,E38000014,NHS Blackburn with Darwen CCG,E39000040
ccg-geography,E38000015,NHS Blackpool CCG,E39000040
ccg-geography,E38000016,NHS Bolton CCG,E39000037
ccg-geography,E38000018,NHS Bradford City CCG,E39000029
ccg-geography,E38000019,NHS Bradford Districts CCG,E39000029
ccg-geography,E38000020,NHS Brent CCG,E39000018
ccg-geography,E38000021,NHS Brighton and Hove CCG,E39000042
ccg-geography,E38000023,NHS Bromley CCG,E39000018
ccg-geography,E38000024,NHS Bury CCG,E39000037
ccg-geography,E38000025,NHS Calderdale CCG,E39000029
ccg-geography,E38000026,NHS Cambridgeshire and Peterborough CCG,E39000031
ccg-geography,E38000027,NHS Camden CCG,E39000018
ccg-geography,E38000028,NHS Cannock Chase CCG,E39000032
ccg-geography,E38000029,NHS Canterbury and Coastal CCG,E39000042
ccg-geography,E38000030,NHS Castle Point and Rochford CCG,E39000031
ccg-geography,E38000031,NHS Central London (Westminster) CCG,E39000018
ccg-geography,E38000034,NHS Chorley and South Ribble CCG,E39000040
ccg-geography,E38000035,NHS City and Hackney CCG,E39000018
ccg-geography,E38000037,NHS Corby CCG,E39000030
ccg-geography,E38000038,NHS Coventry and Rugby CCG,E39000033
ccg-geography,E38000039,NHS Crawley CCG,E39000042
ccg-geography,E38000040,NHS Croydon CCG,E39000018
ccg-geography,E38000042,NHS Darlington CCG,E39000039
ccg-geography,E38000043,"NHS Dartford, Gravesham and Swanley CCG",E39000042
ccg-geography,E38000044,NHS Doncaster CCG,E39000029
ccg-geography,E38000045,NHS Dorset CCG,E39000044
ccg-geography,E38000046,NHS Dudley CCG,E39000033
