code,label,parent
4213,School secretaries,421
4214,Company secretaries,421
4215,Personal assistants and other secretaries,421
4216,Receptionists,421
4217,Typists and related keyboard occupations,421
5,Skilled trades occupations,all
51,Skilled agricultural and related trades,5
511,Agricultural and related trades,51
5111,Farmers,511
5112,Horticultural trades,511
5113,Gardeners and landscape gardeners,511
5114,Groundsmen and greenkeepers,511
5119,Agricultural and fishing trades n.e.c.,511
52,"Skilled metal, electrical and electronic trades",5
521,"Metal forming, welding and related trades",52
5211,Smiths and forge workers,521
5212,"Moulders, core makers and die casters",521
5213,Sheet metal workers,521
5214,"Metal plate workers, and riveters",521
5215,Welding trades,521
5216,Pipe fitters,521
522,"Metal machining, fitting and instrument making trades",52
5221,Metal machining setters and setter-operators,522
5222,"Tool makers, tool fitters and markers-out",522
5223,Metal working production and maintenance fitters,522
5224,Precision instrument makers and repairers,522
5225,Air-conditioning and refrigeration engineers,522
523,Vehicle trades,52
5231,"Vehicle technicians, mechanics and electricians",523
5232,Vehicle body builders and repairers ,523
5234,Vehicle paint technicians,523
5235,Aircraft maintenance and related trades,523
5236,Boat and ship builders and repairers,523
5237,Rail and rolling stock builders and repairers,523
524,Electrical and electronic trades,52
5241,Electricians and electrical fitters,524
5242,Telecommunications engineers,524
5244,"Tv, video and audio engineers",524
5245,It engineers,524
5249,Electrical and electronic trades n.e.c.,524
525,"Skilled metal, electrical and electronic trades supervisors",52
5250,"Skilled metal, electrical and electronic trades supervisors",525
53,Skilled construction and building trades,5
531,Construction and building trades,53
5311,Steel erectors,531
5312,Bricklayers and masons,531
5313,"Roofers, roof tilers and slaters",531
5314,Plumbers and heating and ventilating engineers,531
5315,Carpenters and joiners,531
5316,"Glaziers, window fabricators and fitters",531
5319,Construction and building trades n.e.c.,531
532,Building finishing trades,53
5321,Plasterers,532
5322,Floorers and wall tilers,532
5323,Painters and decorators,532
533,Construction and building trades supervisors,53
5330,Construction and building trades supervisors,533
54,"Textiles, printing and other skilled trades",5
541,Textiles and garments trades,54
5411,Weavers and knitters,541
5412,Upholsterers,541
5413,Footwear and leather working trades,541
5414,Tailors and dressmakers,541
5419,"Textiles, garments and related trades n.e.c.",541
542,Printing trades,54
5421,Pre-press technicians,542
5422,Printers,542
5423,Print finishing and binding workers,542
543,Food preparation and hospitality trades,54
5431,Butchers,543
5432,Bakers and flour confectioners,543
5433,Fishmongers and poultry dressers,543
5434,Chefs,543
5435,Cooks,543
5436,Catering and bar managers,543
544,Other skilled trades,54
5441,"Glass and ceramics makers, decorators and finishers",544
5442,Furniture makers and other craft woodworkers,544
5443,Florists,544
5449,Other skilled trades n.e.c.,544
6,"Caring, leisure and other service occupations",all
61,Caring personal service occupations,6
612,Childcare and related personal services,61
6121,Nursery nurses and assistants,612
6122,Childminders and related occupations,612
6123,Playworkers,612
6125,Teaching assistants,612
6126,Educational support assistants,612
613,Animal care and control services,61
6131,Veterinary nurses,613
6132,Pest control officers,613
6139,Animal care services occupations n.e.c.,613
614,Caring personal services,61
6141,Nursing auxiliaries and assistants,614
6142,Ambulance staff (excluding paramedics),614
6143,Dental nurses,614
6144,Houseparents and residential wardens,614
6145,Care workers and home carers,614
6146,Senior care workers,614
6147,Care escorts,614
6148,"Undertakers, mortuary and crematorium assistants",614
62,"Leisure, travel and related personal service occupations",6
621,Leisure and travel services,62
6211,Sports and leisure assistants,621
6212,Travel agents,621
6214,Air travel assistants,621
6215,Rail travel assistants,621
6219,Leisure and travel service occupations n.e.c.,621
622,Hairdressers and related services,62
6221,Hairdressers and barbers,622
6222,Beauticians and related occupations,622
623,Housekeeping and related services,62
6231,Housekeepers and related occupations,623
6232,Caretakers,623
624,Cleaning and housekeeping managers and supervisors,62
6240,Cleaning and housekeeping managers and supervisors,624
7,Sales and customer service occupations,all
71,Sales occupations,7
711,Sales assistants and retail cashiers,71
7111,Sales and retail assistants,711
7112,Retail cashiers and check-out operators,711
7113,Telephone salespersons,711
7114,Pharmacy and other dispensing assistants,711
7115,Vehicle and parts salespersons and advisers,711
712,Sales related occupations,71
7121,Collector salespersons and credit agents,712
7122,"Debt, rent and other cash collectors",712
7123,Roundspersons and van salespersons,712
7124,Market and street traders and assistants,712
7125,Merchandisers and window dressers,712
7129,Sales related occupations n.e.c.,712
713,Sales supervisors,71
7130,Sales supervisors,713
72,Customer service occupations,7
721,Customer service occupations,72
7211,Call and contact centre occupations,721
7213,Telephonists,721
7214,Communication operators,721
7215,Market research interviewers,721
7219,Customer service occupations n.e.c.,721
722,Customer service managers and supervisors,72
7220,Customer service managers and supervisors,722
8,"Process, plant and machine operatives",all
81,"Process, plant and machine operatives",8
811,Process operatives,81
8111,"Food, drink and tobacco process operatives",811
8112,Glass and ceramics process operatives,811
8113,Textile process operatives,811
8114,Chemical and related process operatives,811
8115,Rubber process operatives,811
8116,Plastics process operatives,811
8117,Metal making and treating process operatives,811
8118,Electroplaters,811
8119,Process operatives n.e.c.,811
812,Plant and machine operatives,81
8121,Paper and wood machine operatives,812
8122,Coal mine operatives,812
8123,Quarry workers and related operatives,812
8124,Energy plant operatives,812
8125,Metal working machine operatives,812
8126,Water and sewerage plant operatives,812
8127,Printing machine assistants,812
8129,Plant and machine operatives n.e.c.,812
813,Assemblers and routine operatives,81
8131,Assemblers (electrical and electronic products),813
8132,Assemblers (vehicles and metal goods),813
8133,Routine inspectors and testers,813
8134,"Weighers, graders and sorters",813
8135,"Tyre, exhaust and windscreen fitters",813
8137,Sewing machinists,813
8139,Assemblers and routine operatives n.e.c.,813
814,Construction operatives,81
8141,"Scaffolders, stagers and riggers",814
8142,Road construction operatives,814
8143,Rail construction and maintenance operatives,814
8149,Construction operatives n.e.c.,814
82,Transport and mobile machine drivers and operatives,8
821,Road transport drivers,82
8211,Large goods vehicle drivers,821
8212,Van drivers,821
8213,Bus and coach drivers,821
8214,Taxi and cab drivers and chauffeurs,821
8215,Driving instructors,821
822,Mobile machine drivers and operatives,82
8221,Crane drivers,822
8222,Fork-lift truck drivers,822
8223,Agricultural machinery drivers,822
8229,Mobile machine drivers and operatives n.e.c.,822
823,Other drivers and transport operatives,82
8231,Train and tram drivers,823
8232,Marine and waterways transport operatives,823
8233,Air transport operatives,823
8234,Rail transport operatives,823
8239,Other drivers and transport operatives n.e.c.,823
9,Elementary occupations,all
91,Elementary trades and related occupations,9
911,Elementary agricultural occupations,91
9111,Farm workers,911
9112,Forestry workers,911
9119,Fishing and other elementary agriculture occupations n.e.c.,911
912,Elementary construction occupations,91
9120,Elementary construction occupations,912
913,Elementary process plant occupations,91
9132,Industrial cleaning process occupations,913
9134,"Packers, bottlers, canners and fillers",913
9139,Elementary process plant occupations n.e.c.,913
92,Elementary administration and service occupations,9
921,Elementary administration occupations,92
9211,"Postal workers, mail sorters, messengers and couriers",921
9219,Elementary administration occupations n.e.c.,921
923,Elementary cleaning occupations,92
9231,Window cleaners,923
9232,Street cleaners,923
9233,Cleaners and domestics,923
9234,"Launderers, dry cleaners and pressers",923
9235,Refuse and salvage occupations,923
9236,Vehicle valeters and cleaners,923
9239,Elementary cleaning occupations n.e.c.,923
924,Elementary security occupations,92
9241,Security guards and related occupations,924
9242,Parking and civil enforcement occupations,924
9244,School midday and crossing patrol occupations,924
9249,Elementary security occupations n.e.c.,924
925,Elementary sales occupations,92
9251,Shelf fillers,925
9259,Elementary sales occupations n.e.c.,925
926,Elementary storage occupations,92
9260,Elementary storage occupations,926
927,Other elementary services occupations,92
9271,Hospital porters,927
9272,Kitchen and catering assistants,927
9273,Waiters and waitresses,927
9274,Bar staff,927
9275,Leisure and theme park attendants,927
9279,Other elementary services occupations n.e.c.,927
all,All,
