Codelist,Code,Label,ParentCode
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.29,Growing of other perennial crops,01.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.30,Plant propagation,01.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.41,Raising of dairy cattle,01.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.42,Raising of other cattle and buffaloes,01.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.43,Raising of horses and other equines,01.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.44,Raising of camels and camelids,01.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.45,Raising of sheep and goats,01.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.46,Raising of swine/pigs,01.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.47,Raising of poultry,01.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.49,Raising of other animals,01.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.50,Mixed farming,01.5
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.61,Support activities for crop production,01.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.62,Support activities for animal production,01.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.63,Post-harvest crop activities,01.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.64,Seed processing for propagation,01.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.62/1,Farm animal boarding and care,01.62
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.62/9,Support activities for animal production (other than farm animal boarding and care) n.e.c.,01.62
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.70,"Hunting, trapping and related service activities",01.7
f012ff16-4616-43c3-be3c-c29b27d4bb88,02.1,Silviculture and other forestry activities,02
f012ff16-4616-43c3-be3c-c29b27d4bb88,02.2,Logging,02
f012ff16-4616-43c3-be3c-c29b27d4bb88,02.3,Gathering of wild growing non-wood products,02
f012ff16-4616-43c3-be3c-c29b27d4bb88,02.4,Support services to forestry,02
f012ff16-4616-43c3-be3c-c29b27d4bb88,02.10,Silviculture and other forestry activities,02.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,02.20,Logging,02.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,02.30,Gathering of wild growing non-wood products,02.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,02.40,Support services to forestry,02.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,03.1,Fishing,03
f012ff16-4616-43c3-be3c-c29b27d4bb88,03.2,Aquaculture,03
f012ff16-4616-43c3-be3c-c29b27d4bb88,03.11,Marine fishing,03.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,03.12,Freshwater fishing,03.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,03.21,Marine aquaculture,03.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,03.22,Freshwater aquaculture,03.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,05.1,Mining of hard coal,05
f012ff16-4616-43c3-be3c-c29b27d4bb88,05.2,Mining of lignite,05
f012ff16-4616-43c3-be3c-c29b27d4bb88,05.10/1,Mining of hard coal from deep coal mines (underground mining),05.10
f012ff16-4616-43c3-be3c-c29b27d4bb88,05.10/2,Mining of hard coal from open cast coal working (surface mining),05.10
f012ff16-4616-43c3-be3c-c29b27d4bb88,05.10,Mining of hard coal,05.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,05.20,Mining of lignite,05.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,06.1,Extraction of crude petroleum,06
f012ff16-4616-43c3-be3c-c29b27d4bb88,06.2,Extraction of natural gas,06
f012ff16-4616-43c3-be3c-c29b27d4bb88,06.10,Extraction of crude petroleum,06.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,06.20,Extraction of natural gas,06.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,07.1,Mining of iron ores,07
f012ff16-4616-43c3-be3c-c29b27d4bb88,07.2,Mining of non-ferrous metal ores,07
f012ff16-4616-43c3-be3c-c29b27d4bb88,07.10,Mining of iron ores,07.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,07.21,Mining of uranium and thorium ores,07.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,07.29,Mining of other non-ferrous metal ores,07.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,08.1,"Quarrying of stone, sand and clay",08
f012ff16-4616-43c3-be3c-c29b27d4bb88,08.9,Mining and quarrying n.e.c.,08
f012ff16-4616-43c3-be3c-c29b27d4bb88,08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",08.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,08.12,Operation of gravel and sand pits; mining of clays and kaolin,08.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,08.91,Mining of chemical and fertiliser minerals,08.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,08.92,Extraction of peat,08.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,08.93,Extraction of salt,08.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,08.99,Other mining and quarrying n.e.c.,08.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,09.1,Support activities for petroleum and natural gas extraction,09
f012ff16-4616-43c3-be3c-c29b27d4bb88,09.9,Support activities for other mining and quarrying,09
f012ff16-4616-43c3-be3c-c29b27d4bb88,09.10,Support activities for petroleum and natural gas extraction,09.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,09.90,Support activities for other mining and quarrying,09.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.1,Processing and preserving of meat and production of meat products,10
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.2,"Processing and preserving of fish, crustaceans and molluscs",10
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.3,Processing and preserving of fruit and vegetables,10
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.4,Manufacture of vegetable and animal oils and fats,10
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.5,Manufacture of dairy products,10
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.6,"Manufacture of grain mill products, starches and starch products",10
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.7,Manufacture of bakery and farinaceous products,10
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.8,Manufacture of other food products,10
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.9,Manufacture of prepared animal feeds,10
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.11,Processing and preserving of meat,10.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.12,Processing and preserving of poultry meat,10.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.13,Production of meat and poultry meat products,10.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.20,"Processing and preserving of fish, crustaceans and molluscs",10.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.31,Processing and preserving of potatoes,10.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.32,Manufacture of fruit and vegetable juice,10.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.39,Other processing and preserving of fruit and vegetables,10.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.41,Manufacture of oils and fats,10.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.42,Manufacture of margarine and similar edible fats,10.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.51,Operation of dairies and cheese making,10.5
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.52,Manufacture of ice cream,10.5
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.51/1,Liquid milk and cream production,10.51
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.51/2,Butter and cheese production,10.51
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.51/9,"Manufacture of milk products (other than liquid milk and cream, butter, cheese) n.e.c.",10.51
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.61,Manufacture of grain mill products,10.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.62,Manufacture of starches and starch products,10.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.61/1,Grain milling,10.61
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.61/2,Manufacture of breakfast cereals and cereals-based foods,10.61
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.71,Manufacture of bread; manufacture of fresh pastry goods and cakes,10.7
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.72,Manufacture of rusks and biscuits; manufacture of preserved pastry goods and cakes,10.7
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.73,"Manufacture of macaroni, noodles, couscous and similar farinaceous products",10.7
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.81,Manufacture of sugar,10.8
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.82,"Manufacture of cocoa, chocolate and sugar confectionery",10.8
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.83,Processing of tea and coffee,10.8
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.84,Manufacture of condiments and seasonings,10.8
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.85,Manufacture of prepared meals and dishes,10.8
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.86,Manufacture of homogenised food preparations and dietetic food,10.8
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.89,Manufacture of other food products n.e.c.,10.8
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.82/1,"Manufacture of cocoa, and chocolate confectionery",10.82
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.82/2,Manufacture of sugar confectionery,10.82
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.83/1,Tea processing,10.83
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.83/2,Production of coffee and coffee substitutes,10.83
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.91,Manufacture of prepared feeds for farm animals,10.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,10.92,Manufacture of prepared pet foods,10.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,11.01,"Distilling, rectifying and blending of spirits",11.0
f012ff16-4616-43c3-be3c-c29b27d4bb88,11.02,Manufacture of wine from grape,11.0
f012ff16-4616-43c3-be3c-c29b27d4bb88,11.03,Manufacture of cider and other fruit wines,11.0
f012ff16-4616-43c3-be3c-c29b27d4bb88,11.04,Manufacture of other non-distilled fermented beverages,11.0
f012ff16-4616-43c3-be3c-c29b27d4bb88,11.05,Manufacture of beer,11.0
f012ff16-4616-43c3-be3c-c29b27d4bb88,11.06,Manufacture of malt,11.0
f012ff16-4616-43c3-be3c-c29b27d4bb88,11.07,Manufacture of soft drinks; production of mineral waters and other bottled waters,11.0
f012ff16-4616-43c3-be3c-c29b27d4bb88,11.0,Manufacture of beverages,11
f012ff16-4616-43c3-be3c-c29b27d4bb88,12.00,Manufacture of tobacco products,12.0
f012ff16-4616-43c3-be3c-c29b27d4bb88,12.0,Manufacture of tobacco products,12
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.1,Preparation and spinning of textile fibres,13
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.2,Weaving of textiles,13
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.3,Finishing of textiles,13
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.9,Manufacture of other textiles,13
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.10,Preparation and spinning of textile fibres,13.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.20,Weaving of textiles,13.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.30,Finishing of textiles,13.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.91,Manufacture of knitted and crocheted fabrics,13.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.92,"Manufacture of made-up textile articles, except apparel",13.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.93,Manufacture of carpets and rugs,13.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.94,"Manufacture of cordage, rope, twine and netting",13.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.95,"Manufacture of non-wovens and articles made from non-wovens, except apparel",13.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.96,Manufacture of other technical and industrial textiles,13.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.99,Manufacture of other textiles n.e.c.,13.9
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.92/1,Manufacture of soft furnishings,13.92
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.92/2,"Manufacture of canvas goods, sacks etc.",13.92
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.92/3,Manufacture of household textiles (other than soft furnishings of 13.92/1),13.92
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.93/1,Manufacture of woven or tufted carpets and rugs,13.93
f012ff16-4616-43c3-be3c-c29b27d4bb88,13.93/9,Manufacture of carpets and rugs (other than woven or tufted) n.e.c.,13.93
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.1,"Manufacture of wearing apparel, except fur apparel",14
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.2,Manufacture of articles of fur,14
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.3,Manufacture of knitted and crocheted apparel,14
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.11,Manufacture of leather clothes,14.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.12,Manufacture of workwear,14.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.13,Manufacture of other outerwear,14.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.14,Manufacture of underwear,14.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.19,Manufacture of other wearing apparel and accessories,14.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.13/1,"Manufacture of men's outerwear, other than leather clothes and workwear",14.13
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.13/2,"Manufacture of women's outerwear, other than leather clothes and workwear",14.13
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.14/1,Manufacture of men's underwear,14.14
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.14/2,Manufacture of women's underwear,14.14
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.20,Manufacture of articles of fur,14.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.31,Manufacture of knitted and crocheted hosiery,14.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,14.39,Manufacture of other knitted and crocheted apparel,14.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,15.1,"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery and harness; dressing and dyeing of fur",15
f012ff16-4616-43c3-be3c-c29b27d4bb88,15.2,Manufacture of footwear,15
f012ff16-4616-43c3-be3c-c29b27d4bb88,15.11,Tanning and dressing of leather; dressing and dyeing of fur,15.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",15.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,15.20,Manufacture of footwear,15.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,16.1,Sawmilling and planing of wood,16
f012ff16-4616-43c3-be3c-c29b27d4bb88,16.2,"Manufacture of products of wood, cork, straw and plaiting materials",16
f012ff16-4616-43c3-be3c-c29b27d4bb88,16.10,Sawmilling and planing of wood,16.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,16.21,Manufacture of veneer sheets and wood-based panels,16.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,16.22,Manufacture of assembled parquet floors,16.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,16.23,Manufacture of other builders' carpentry and joinery,16.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,16.24,Manufacture of wooden containers,16.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",16.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.1,"Manufacture of pulp, paper and paperboard",17
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.2,Manufacture of articles of paper and paperboard,17
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.11,Manufacture of pulp,17.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.12,Manufacture of paper and paperboard,17.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.21,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,17.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.22,Manufacture of household and sanitary goods and of toilet requisites,17.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.23,Manufacture of paper stationery,17.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.24,Manufacture of wallpaper,17.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.29,Manufacture of other articles of paper and paperboard,17.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.21/1,Manufacture of corrugated paper and paperboard; manufacture of sacks and bags of paper,17.21
f012ff16-4616-43c3-be3c-c29b27d4bb88,17.21/9,Manufacture of paper and paperboard containers other than sacks and bags,17.21
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.1,Printing and service activities related to printing,18
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.2,Reproduction of recorded media,18
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.11,Printing of newspapers,18.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.12,Other printing,18.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.13,Pre-press and pre-media services,18.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.14,Binding and related services,18.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.12/1,Manufacture of printed labels,18.12
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.12/9,Printing (other than printing of newspapers and printing on labels and tags) n.e.c.,18.12
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.20/1,Reproduction of sound recording,18.20
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.20/2,Reproduction of video recording,18.20
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.20/3,Reproduction of computer media,18.20
f012ff16-4616-43c3-be3c-c29b27d4bb88,18.20,Reproduction of recorded media,18.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,19.1,Manufacture of coke oven products,19
f012ff16-4616-43c3-be3c-c29b27d4bb88,19.2,Manufacture of refined petroleum products,19
f012ff16-4616-43c3-be3c-c29b27d4bb88,19.10,Manufacture of coke oven products,19.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,19.20/1,Mineral oil refining,19.20
f012ff16-4616-43c3-be3c-c29b27d4bb88,19.20/9,Other treatment of petroleum products (excluding mineral oil refining/petrochemicals manufacture),19.20
f012ff16-4616-43c3-be3c-c29b27d4bb88,19.20,Manufacture of refined petroleum products,19.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.1,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",20
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.2,Manufacture of pesticides and other agrochemical products,20
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",20
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.4,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",20
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.5,Manufacture of other chemical products,20
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.6,Manufacture of man-made fibres,20
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.11,Manufacture of industrial gases,20.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.12,Manufacture of dyes and pigments,20.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.13,Manufacture of other inorganic basic chemicals,20.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.14,Manufacture of other organic basic chemicals,20.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.15,Manufacture of fertilisers and nitrogen compounds,20.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.16,Manufacture of plastics in primary forms,20.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.17,Manufacture of synthetic rubber in primary forms,20.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.20,Manufacture of pesticides and other agrochemical products,20.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.30/1,"Manufacture of paints, varnishes and similar coatings, mastics and sealants",20.30
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.30/2,Manufacture of printing ink,20.30
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.30,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",20.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.41,"Manufacture of soap and detergents, cleaning and polishing preparations",20.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.42,Manufacture of perfumes and toilet preparations,20.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.41/1,Manufacture of soap and detergents,20.41
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.41/2,Manufacture of cleaning and polishing preparations,20.41
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.51,Manufacture of explosives,20.5
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.52,Manufacture of glues,20.5
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.53,Manufacture of essential oils,20.5
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.59,Manufacture of other chemical products n.e.c.,20.5
f012ff16-4616-43c3-be3c-c29b27d4bb88,20.60,Manufacture of man-made fibres,20.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,21.1,Manufacture of basic pharmaceutical products,21
f012ff16-4616-43c3-be3c-c29b27d4bb88,21.2,Manufacture of pharmaceutical preparations,21
f012ff16-4616-43c3-be3c-c29b27d4bb88,21.10,Manufacture of basic pharmaceutical products,21.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,21.20,Manufacture of pharmaceutical preparations,21.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,22.1,Manufacture of rubber products,22
f012ff16-4616-43c3-be3c-c29b27d4bb88,22.2,Manufacture of plastics products,22
f012ff16-4616-43c3-be3c-c29b27d4bb88,22.11,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,22.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,22.19,Manufacture of other rubber products,22.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,22.21,"Manufacture of plastic plates, sheets, tubes and profiles",22.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,22.22,Manufacture of plastic packing goods,22.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,22.23,Manufacture of builders’ ware of plastic,22.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,22.29,Manufacture of other plastic products,22.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.1,Manufacture of glass and glass products,23
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.2,Manufacture of refractory products,23
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.3,Manufacture of clay building materials,23
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.4,Manufacture of other porcelain and ceramic products,23
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.5,"Manufacture of cement, lime and plaster",23
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.6,"Manufacture of articles of concrete, cement and plaster",23
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.7,"Cutting, shaping and finishing of stone",23
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.9,Manufacture of abrasive products and non-metallic mineral products n.e.c.,23
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.11,Manufacture of flat glass,23.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.12,Shaping and processing of flat glass,23.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.13,Manufacture of hollow glass,23.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.14,Manufacture of glass fibres,23.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.19,"Manufacture and processing of other glass, including technical glassware",23.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.20,Manufacture of refractory products,23.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.31,Manufacture of ceramic tiles and flags,23.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.32,"Manufacture of bricks, tiles and construction products, in baked clay",23.3
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.41,Manufacture of ceramic household and ornamental articles,23.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.42,Manufacture of ceramic sanitary fixtures,23.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.43,Manufacture of ceramic insulators and insulating fittings,23.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.44,Manufacture of other technical ceramic products,23.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.49,Manufacture of other ceramic products,23.4
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.51,Manufacture of cement,23.5
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.52,Manufacture of lime and plaster,23.5
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.61,Manufacture of concrete products for construction purposes,23.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.62,Manufacture of plaster products for construction purposes,23.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.63,Manufacture of ready-mixed concrete,23.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.64,Manufacture of mortars,23.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.65,Manufacture of fibre cement,23.6
f012ff16-4616-43c3-be3c-c29b27d4bb88,23.69,"Manufacture of other articles of concrete, plaster and cement",23.6
