Codelist,Code,Label,ParentCode
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.1,Growing of non-perennial crops,01
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.2,Growing of perennial crops,01
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.3,Plant propagation,01
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.4,Animal production,01
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.5,Mixed farming,01
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.6,Support activities to agriculture and post-harvest crop activities,01
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.7,"Hunting, trapping and related service activities",01
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.11,"Growing of cereals (except rice), leguminous crops and oil seeds",01.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.12,Growing of rice,01.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.13,"Growing of vegetables and melons, roots and tubers",01.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.14,Growing of sugar cane,01.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.15,Growing of tobacco,01.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.16,Growing of fibre crops,01.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.19,Growing of other non-perennial crops,01.1
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.21,Growing of grapes,01.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.22,Growing of tropical and subtropical fruits,01.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.23,Growing of citrus fruits,01.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.24,Growing of pome fruits and stone fruits,01.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.25,Growing of other tree and bush fruits and nuts,01.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.26,Growing of oleaginous fruits,01.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.27,Growing of beverage crops,01.2
f012ff16-4616-43c3-be3c-c29b27d4bb88,01.28,"Growing of spices, aromatic, drug and pharmaceutical crops",01.2
