code,label,parent
E30000004,Barnsley,E12000003
E30000018,Bradford,E12000003
E30000029,Halifax,E12000003
E30000039,Skipton,E12000003
E30000046,Dorchester and Weymouth,E12000009
E30000051,Falmouth,E12000009
E30000054,Grantham,E12000004
E30000061,Hastings,E12000008
E30000064,Hexham,E12000002
E30000070,Isle of Wight,E12000008
E30000076,Lancaster and Morecambe,E12000002
E30000093,Middlesbrough and Stockton,E12000003
E30000095,Minehead,E12000009
E30000106,Penrith,E12000002
E30000108,Peterborough,E12000006
E30000110,Poole,E12000009
E30000124,Spalding,E12000004
E30000135,Thetford and Mildenhall,E12000006
E30000147,Whitby,E12000003
E30000159,Andover,E12000009
E30000160,Ashford,E12000008
E30000161,Banbury,E12000008
E30000162,Barnstaple,E12000009
E30000163,Barrow-in-Furness,E12000002
E30000164,Basingstoke,E12000008
E30000165,Bath,E12000009
E30000166,Bedford,E12000006
E30000167,Bideford,E12000009
E30000168,Birkenhead,E12000002
E30000169,Birmingham,E12000005
E30000170,Blackburn,E12000002
E30000171,Blackpool,E12000002
E30000172,Blandford Forum and Gillingham,E12000009
E30000173,Blyth and Ashington,E12000001
E30000174,Boston,E12000004
E30000175,Bournemouth,E12000009
E30000176,Bridgwater,E12000009
E30000177,Bridlington,E12000003
E30000178,Bridport,E12000009
E30000179,Brighton,E12000008
E30000180,Bristol,E12000009
E30000181,Bude,E12000009
E30000182,Burnley,E12000002
E30000183,Burton upon Trent,E12000005
E30000184,Bury St Edmunds,E12000006
E30000185,Buxton,E12000004
E30000186,Cambridge,E12000006
E30000187,Canterbury,E12000008
E30000188,Chelmsford,E12000006
E30000189,Cheltenham,E12000009
E30000190,Chesterfield,E12000004
E30000191,Chichester and Bognor Regis,E12000008
E30000192,Clacton,E12000006
E30000193,Colchester,E12000006
E30000194,Corby,E12000004
E30000195,Coventry,E12000005
E30000196,Crawley,E12000008
E30000197,Crewe,E12000002
E30000198,Cromer and Sheringham,E12000006
E30000199,Darlington,E12000003
E30000200,Derby,E12000005
E30000201,Doncaster,E12000003
E30000202,Dudley,E12000005
E30000203,Durham and Bishop Auckland,E12000001
E30000204,Eastbourne,E12000008
E30000205,Evesham,E12000009
E30000206,Exeter,E12000009
E30000208,Folkestone and Dover,E12000008
E30000209,Gloucester,E12000009
E30000210,Great Yarmouth,E12000006
E30000211,Grimsby,E12000004
E30000212,Guildford and Aldershot,E12000008
E30000214,Harrogate,E12000003
E30000215,Hartlepool,E12000001
E30000216,Hereford,E12000005
E30000218,High Wycombe and Aylesbury,E12000008
E30000219,Huddersfield,E12000003
E30000220,Hull,E12000003
E30000221,Huntingdon,E12000006
E30000222,Ipswich,E12000006
E30000223,Kendal,E12000002
E30000224,Kettering and Wellingborough,E12000006
E30000225,King's Lynn,E12000006
E30000226,Kingsbridge and Dartmouth,E12000009
E30000227,Launceston,E12000009
E30000228,Leamington Spa,E12000009
E30000229,Leeds,E12000003
E30000230,Leicester,E12000004
E30000231,Lincoln,E12000004
E30000232,Liskeard,E12000009
E30000233,Liverpool,E12000002
E30000234,London,E12000008
E30000235,Lowestoft,E12000006
E30000236,Ludlow,E12000005
E30000237,Luton,E12000008
E30000238,Malton,E12000003
E30000239,Manchester,E12000004
E30000240,Mansfield,E12000004
E30000241,Margate and Ramsgate,E12000008
E30000242,Medway,E12000008
E30000243,Milton Keynes,E12000008
E30000244,Newbury,E12000009
E30000245,Newcastle,E12000001
E30000246,Northallerton,E12000003
E30000247,Northampton,E12000004
E30000248,Norwich,E12000006
E30000249,Nottingham,E12000004
E30000250,Oxford,E12000008
E30000252,Penzance,E12000009
E30000253,Plymouth,E12000009
E30000254,Portsmouth,E12000008
E30000255,Preston,E12000002
E30000256,Reading,E12000008
E30000257,Redruth and Truro,E12000009
E30000258,Salisbury,E12000009
E30000259,Scarborough,E12000003
E30000260,Scunthorpe,E12000004
E30000261,Sheffield,E12000004
E30000262,Shrewsbury,E12000005
